"id_soal","id_matpel","id_topik","judul_topik","id_sub_topik","judul_sub_topik","id_tag","tag","konten_soal","opsi_1","opsi_2","opsi_3","opsi_4","kunci_jawaban"
"1850","3","27","Memecahkan Permasalahan Dampak Teknologi lewat Diskusi","63","Teks Diskusi","2767","majas","<p>Senja yang kelabu</p>
<p>Mentari sembunyi dibalik awan</p>
<p>Pepohonan enggan bergerak</p>
<p>[ &hellip; ]</p>
<p>Larik bermajas untuk melengkapi bait puisi tersebut adalah &hellip; </p>","<p>Satwa digiring ke kandang.</p>","<p>Burung diam membisu.</p>","<p>Dahan mulai mongering.</p>","<p>Camar beterbangan.</p>","B"
"1850","3","28","Mengulas Berbagai Karya Sastra","64","Teks Ulasan","2767","majas","<p>Senja yang kelabu</p>
<p>Mentari sembunyi dibalik awan</p>
<p>Pepohonan enggan bergerak</p>
<p>[ &hellip; ]</p>
<p>Larik bermajas untuk melengkapi bait puisi tersebut adalah &hellip; </p>","<p>Satwa digiring ke kandang.</p>","<p>Burung diam membisu.</p>","<p>Dahan mulai mongering.</p>","<p>Camar beterbangan.</p>","B"
"1850","3","73","Lingkungan","223","menulis puisi bebas ","2767","majas","<p>Senja yang kelabu</p>
<p>Mentari sembunyi dibalik awan</p>
<p>Pepohonan enggan bergerak</p>
<p>[ &hellip; ]</p>
<p>Larik bermajas untuk melengkapi bait puisi tersebut adalah &hellip; </p>","<p>Satwa digiring ke kandang.</p>","<p>Burung diam membisu.</p>","<p>Dahan mulai mongering.</p>","<p>Camar beterbangan.</p>","B"
"1850","3","75","Kesenian","231","menulis puisi bebas","2767","majas","<p>Senja yang kelabu</p>
<p>Mentari sembunyi dibalik awan</p>
<p>Pepohonan enggan bergerak</p>
<p>[ &hellip; ]</p>
<p>Larik bermajas untuk melengkapi bait puisi tersebut adalah &hellip; </p>","<p>Satwa digiring ke kandang.</p>","<p>Burung diam membisu.</p>","<p>Dahan mulai mongering.</p>","<p>Camar beterbangan.</p>","B"
"1850","3","26","Menggapai Cita Melalui Kreativitas","62","Teks Prosedur","2768","larik","<p>Senja yang kelabu</p>
<p>Mentari sembunyi dibalik awan</p>
<p>Pepohonan enggan bergerak</p>
<p>[ &hellip; ]</p>
<p>Larik bermajas untuk melengkapi bait puisi tersebut adalah &hellip; </p>","<p>Satwa digiring ke kandang.</p>","<p>Burung diam membisu.</p>","<p>Dahan mulai mongering.</p>","<p>Camar beterbangan.</p>","B"
"1850","3","28","Mengulas Berbagai Karya Sastra","64","Teks Ulasan","2768","larik","<p>Senja yang kelabu</p>
<p>Mentari sembunyi dibalik awan</p>
<p>Pepohonan enggan bergerak</p>
<p>[ &hellip; ]</p>
<p>Larik bermajas untuk melengkapi bait puisi tersebut adalah &hellip; </p>","<p>Satwa digiring ke kandang.</p>","<p>Burung diam membisu.</p>","<p>Dahan mulai mongering.</p>","<p>Camar beterbangan.</p>","B"
"1850","3","73","Lingkungan","223","menulis puisi bebas ","2768","larik","<p>Senja yang kelabu</p>
<p>Mentari sembunyi dibalik awan</p>
<p>Pepohonan enggan bergerak</p>
<p>[ &hellip; ]</p>
<p>Larik bermajas untuk melengkapi bait puisi tersebut adalah &hellip; </p>","<p>Satwa digiring ke kandang.</p>","<p>Burung diam membisu.</p>","<p>Dahan mulai mongering.</p>","<p>Camar beterbangan.</p>","B"
"1850","3","75","Kesenian","231","menulis puisi bebas","2768","larik","<p>Senja yang kelabu</p>
<p>Mentari sembunyi dibalik awan</p>
<p>Pepohonan enggan bergerak</p>
<p>[ &hellip; ]</p>
<p>Larik bermajas untuk melengkapi bait puisi tersebut adalah &hellip; </p>","<p>Satwa digiring ke kandang.</p>","<p>Burung diam membisu.</p>","<p>Dahan mulai mongering.</p>","<p>Camar beterbangan.</p>","B"
"1850","3","73","Lingkungan","223","menulis puisi bebas ","2769","penggalan_puisi","<p>Senja yang kelabu</p>
<p>Mentari sembunyi dibalik awan</p>
<p>Pepohonan enggan bergerak</p>
<p>[ &hellip; ]</p>
<p>Larik bermajas untuk melengkapi bait puisi tersebut adalah &hellip; </p>","<p>Satwa digiring ke kandang.</p>","<p>Burung diam membisu.</p>","<p>Dahan mulai mongering.</p>","<p>Camar beterbangan.</p>","B"
"1850","3","75","Kesenian","231","menulis puisi bebas","2769","penggalan_puisi","<p>Senja yang kelabu</p>
<p>Mentari sembunyi dibalik awan</p>
<p>Pepohonan enggan bergerak</p>
<p>[ &hellip; ]</p>
<p>Larik bermajas untuk melengkapi bait puisi tersebut adalah &hellip; </p>","<p>Satwa digiring ke kandang.</p>","<p>Burung diam membisu.</p>","<p>Dahan mulai mongering.</p>","<p>Camar beterbangan.</p>","B"
"1852","3","25","Menepis Lupa Jasa Inspirator Bangsa","61","Puisi Jasa Pahlawan","2392","puisi","<p>(1) Dengarkan angin mengusir batang-batang padi.</p>
<p>(2) Sebelum matahari tenggelam.</p>
<p>(3) Dengarkan senandung dibalik jendela.</p>
<p>(4) Sebelum keadaan sepi.</p>
<p>(5) Rumah kecil, bukalah pintu pagarmu.</p>
<p>Berdasarkan puisi tersebut adalah larik yang bermajas sama ditandai nomor &hellip; </p>
<p>&nbsp;</p>","<p>&nbsp;(1) dan (2)</p>","<p>(1) dan (3)</p>","<p>(1) dan (4)</p>","<p>(1) dan (5)</p>","B"
"1852","3","26","Menggapai Cita Melalui Kreativitas","62","Teks Prosedur","2392","puisi","<p>(1) Dengarkan angin mengusir batang-batang padi.</p>
<p>(2) Sebelum matahari tenggelam.</p>
<p>(3) Dengarkan senandung dibalik jendela.</p>
<p>(4) Sebelum keadaan sepi.</p>
<p>(5) Rumah kecil, bukalah pintu pagarmu.</p>
<p>Berdasarkan puisi tersebut adalah larik yang bermajas sama ditandai nomor &hellip; </p>
<p>&nbsp;</p>","<p>&nbsp;(1) dan (2)</p>","<p>(1) dan (3)</p>","<p>(1) dan (4)</p>","<p>(1) dan (5)</p>","B"
"1852","3","27","Memecahkan Permasalahan Dampak Teknologi lewat Diskusi","63","Teks Diskusi","2392","puisi","<p>(1) Dengarkan angin mengusir batang-batang padi.</p>
<p>(2) Sebelum matahari tenggelam.</p>
<p>(3) Dengarkan senandung dibalik jendela.</p>
<p>(4) Sebelum keadaan sepi.</p>
<p>(5) Rumah kecil, bukalah pintu pagarmu.</p>
<p>Berdasarkan puisi tersebut adalah larik yang bermajas sama ditandai nomor &hellip; </p>
<p>&nbsp;</p>","<p>&nbsp;(1) dan (2)</p>","<p>(1) dan (3)</p>","<p>(1) dan (4)</p>","<p>(1) dan (5)</p>","B"
"1852","3","28","Mengulas Berbagai Karya Sastra","64","Teks Ulasan","2392","puisi","<p>(1) Dengarkan angin mengusir batang-batang padi.</p>
<p>(2) Sebelum matahari tenggelam.</p>
<p>(3) Dengarkan senandung dibalik jendela.</p>
<p>(4) Sebelum keadaan sepi.</p>
<p>(5) Rumah kecil, bukalah pintu pagarmu.</p>
<p>Berdasarkan puisi tersebut adalah larik yang bermajas sama ditandai nomor &hellip; </p>
<p>&nbsp;</p>","<p>&nbsp;(1) dan (2)</p>","<p>(1) dan (3)</p>","<p>(1) dan (4)</p>","<p>(1) dan (5)</p>","B"
"1852","3","73","Lingkungan","223","menulis puisi bebas ","2392","puisi","<p>(1) Dengarkan angin mengusir batang-batang padi.</p>
<p>(2) Sebelum matahari tenggelam.</p>
<p>(3) Dengarkan senandung dibalik jendela.</p>
<p>(4) Sebelum keadaan sepi.</p>
<p>(5) Rumah kecil, bukalah pintu pagarmu.</p>
<p>Berdasarkan puisi tersebut adalah larik yang bermajas sama ditandai nomor &hellip; </p>
<p>&nbsp;</p>","<p>&nbsp;(1) dan (2)</p>","<p>(1) dan (3)</p>","<p>(1) dan (4)</p>","<p>(1) dan (5)</p>","B"
"1852","3","75","Kesenian","231","menulis puisi bebas","2392","puisi","<p>(1) Dengarkan angin mengusir batang-batang padi.</p>
<p>(2) Sebelum matahari tenggelam.</p>
<p>(3) Dengarkan senandung dibalik jendela.</p>
<p>(4) Sebelum keadaan sepi.</p>
<p>(5) Rumah kecil, bukalah pintu pagarmu.</p>
<p>Berdasarkan puisi tersebut adalah larik yang bermajas sama ditandai nomor &hellip; </p>
<p>&nbsp;</p>","<p>&nbsp;(1) dan (2)</p>","<p>(1) dan (3)</p>","<p>(1) dan (4)</p>","<p>(1) dan (5)</p>","B"
"1852","3","27","Memecahkan Permasalahan Dampak Teknologi lewat Diskusi","63","Teks Diskusi","2767","majas","<p>(1) Dengarkan angin mengusir batang-batang padi.</p>
<p>(2) Sebelum matahari tenggelam.</p>
<p>(3) Dengarkan senandung dibalik jendela.</p>
<p>(4) Sebelum keadaan sepi.</p>
<p>(5) Rumah kecil, bukalah pintu pagarmu.</p>
<p>Berdasarkan puisi tersebut adalah larik yang bermajas sama ditandai nomor &hellip; </p>
<p>&nbsp;</p>","<p>&nbsp;(1) dan (2)</p>","<p>(1) dan (3)</p>","<p>(1) dan (4)</p>","<p>(1) dan (5)</p>","B"
"1852","3","28","Mengulas Berbagai Karya Sastra","64","Teks Ulasan","2767","majas","<p>(1) Dengarkan angin mengusir batang-batang padi.</p>
<p>(2) Sebelum matahari tenggelam.</p>
<p>(3) Dengarkan senandung dibalik jendela.</p>
<p>(4) Sebelum keadaan sepi.</p>
<p>(5) Rumah kecil, bukalah pintu pagarmu.</p>
<p>Berdasarkan puisi tersebut adalah larik yang bermajas sama ditandai nomor &hellip; </p>
<p>&nbsp;</p>","<p>&nbsp;(1) dan (2)</p>","<p>(1) dan (3)</p>","<p>(1) dan (4)</p>","<p>(1) dan (5)</p>","B"
"1852","3","73","Lingkungan","223","menulis puisi bebas ","2767","majas","<p>(1) Dengarkan angin mengusir batang-batang padi.</p>
<p>(2) Sebelum matahari tenggelam.</p>
<p>(3) Dengarkan senandung dibalik jendela.</p>
<p>(4) Sebelum keadaan sepi.</p>
<p>(5) Rumah kecil, bukalah pintu pagarmu.</p>
<p>Berdasarkan puisi tersebut adalah larik yang bermajas sama ditandai nomor &hellip; </p>
<p>&nbsp;</p>","<p>&nbsp;(1) dan (2)</p>","<p>(1) dan (3)</p>","<p>(1) dan (4)</p>","<p>(1) dan (5)</p>","B"
"1852","3","75","Kesenian","231","menulis puisi bebas","2767","majas","<p>(1) Dengarkan angin mengusir batang-batang padi.</p>
<p>(2) Sebelum matahari tenggelam.</p>
<p>(3) Dengarkan senandung dibalik jendela.</p>
<p>(4) Sebelum keadaan sepi.</p>
<p>(5) Rumah kecil, bukalah pintu pagarmu.</p>
<p>Berdasarkan puisi tersebut adalah larik yang bermajas sama ditandai nomor &hellip; </p>
<p>&nbsp;</p>","<p>&nbsp;(1) dan (2)</p>","<p>(1) dan (3)</p>","<p>(1) dan (4)</p>","<p>(1) dan (5)</p>","B"
"1852","3","26","Menggapai Cita Melalui Kreativitas","62","Teks Prosedur","2768","larik","<p>(1) Dengarkan angin mengusir batang-batang padi.</p>
<p>(2) Sebelum matahari tenggelam.</p>
<p>(3) Dengarkan senandung dibalik jendela.</p>
<p>(4) Sebelum keadaan sepi.</p>
<p>(5) Rumah kecil, bukalah pintu pagarmu.</p>
<p>Berdasarkan puisi tersebut adalah larik yang bermajas sama ditandai nomor &hellip; </p>
<p>&nbsp;</p>","<p>&nbsp;(1) dan (2)</p>","<p>(1) dan (3)</p>","<p>(1) dan (4)</p>","<p>(1) dan (5)</p>","B"
"1852","3","28","Mengulas Berbagai Karya Sastra","64","Teks Ulasan","2768","larik","<p>(1) Dengarkan angin mengusir batang-batang padi.</p>
<p>(2) Sebelum matahari tenggelam.</p>
<p>(3) Dengarkan senandung dibalik jendela.</p>
<p>(4) Sebelum keadaan sepi.</p>
<p>(5) Rumah kecil, bukalah pintu pagarmu.</p>
<p>Berdasarkan puisi tersebut adalah larik yang bermajas sama ditandai nomor &hellip; </p>
<p>&nbsp;</p>","<p>&nbsp;(1) dan (2)</p>","<p>(1) dan (3)</p>","<p>(1) dan (4)</p>","<p>(1) dan (5)</p>","B"
"1852","3","73","Lingkungan","223","menulis puisi bebas ","2768","larik","<p>(1) Dengarkan angin mengusir batang-batang padi.</p>
<p>(2) Sebelum matahari tenggelam.</p>
<p>(3) Dengarkan senandung dibalik jendela.</p>
<p>(4) Sebelum keadaan sepi.</p>
<p>(5) Rumah kecil, bukalah pintu pagarmu.</p>
<p>Berdasarkan puisi tersebut adalah larik yang bermajas sama ditandai nomor &hellip; </p>
<p>&nbsp;</p>","<p>&nbsp;(1) dan (2)</p>","<p>(1) dan (3)</p>","<p>(1) dan (4)</p>","<p>(1) dan (5)</p>","B"
"1852","3","75","Kesenian","231","menulis puisi bebas","2768","larik","<p>(1) Dengarkan angin mengusir batang-batang padi.</p>
<p>(2) Sebelum matahari tenggelam.</p>
<p>(3) Dengarkan senandung dibalik jendela.</p>
<p>(4) Sebelum keadaan sepi.</p>
<p>(5) Rumah kecil, bukalah pintu pagarmu.</p>
<p>Berdasarkan puisi tersebut adalah larik yang bermajas sama ditandai nomor &hellip; </p>
<p>&nbsp;</p>","<p>&nbsp;(1) dan (2)</p>","<p>(1) dan (3)</p>","<p>(1) dan (4)</p>","<p>(1) dan (5)</p>","B"
"1852","3","73","Lingkungan","223","menulis puisi bebas ","2769","penggalan_puisi","<p>(1) Dengarkan angin mengusir batang-batang padi.</p>
<p>(2) Sebelum matahari tenggelam.</p>
<p>(3) Dengarkan senandung dibalik jendela.</p>
<p>(4) Sebelum keadaan sepi.</p>
<p>(5) Rumah kecil, bukalah pintu pagarmu.</p>
<p>Berdasarkan puisi tersebut adalah larik yang bermajas sama ditandai nomor &hellip; </p>
<p>&nbsp;</p>","<p>&nbsp;(1) dan (2)</p>","<p>(1) dan (3)</p>","<p>(1) dan (4)</p>","<p>(1) dan (5)</p>","B"
"1852","3","75","Kesenian","231","menulis puisi bebas","2769","penggalan_puisi","<p>(1) Dengarkan angin mengusir batang-batang padi.</p>
<p>(2) Sebelum matahari tenggelam.</p>
<p>(3) Dengarkan senandung dibalik jendela.</p>
<p>(4) Sebelum keadaan sepi.</p>
<p>(5) Rumah kecil, bukalah pintu pagarmu.</p>
<p>Berdasarkan puisi tersebut adalah larik yang bermajas sama ditandai nomor &hellip; </p>
<p>&nbsp;</p>","<p>&nbsp;(1) dan (2)</p>","<p>(1) dan (3)</p>","<p>(1) dan (4)</p>","<p>(1) dan (5)</p>","B"
"1856","3","25","Menepis Lupa Jasa Inspirator Bangsa","61","Puisi Jasa Pahlawan","2392","puisi","<p><strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Rembulan</strong></p>
<p><em>Rembulan</em></p>
<p><em>Kau berjalan di atas bumi pertiwi</em></p>
<p><em>Dengan sinar keagunganmu</em></p>
<p><em>Walau sesaat kita bertemu dimalam hari</em></p>
<p>Larik bermajas untuk melengkapi puisi tersebut adalah &hellip;</p>
<p>&nbsp;</p>","<p>Dia bermanfaat sekali</p>","<p>Rembulan menyinari bumi</p>","<p>Cahayanya bersinar terang</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </p>","<p>Engkau tersenyum padaku</p>
<p>&nbsp;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </p>","D"
"1856","3","26","Menggapai Cita Melalui Kreativitas","62","Teks Prosedur","2392","puisi","<p><strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Rembulan</strong></p>
<p><em>Rembulan</em></p>
<p><em>Kau berjalan di atas bumi pertiwi</em></p>
<p><em>Dengan sinar keagunganmu</em></p>
<p><em>Walau sesaat kita bertemu dimalam hari</em></p>
<p>Larik bermajas untuk melengkapi puisi tersebut adalah &hellip;</p>
<p>&nbsp;</p>","<p>Dia bermanfaat sekali</p>","<p>Rembulan menyinari bumi</p>","<p>Cahayanya bersinar terang</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </p>","<p>Engkau tersenyum padaku</p>
<p>&nbsp;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </p>","D"
"1856","3","27","Memecahkan Permasalahan Dampak Teknologi lewat Diskusi","63","Teks Diskusi","2392","puisi","<p><strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Rembulan</strong></p>
<p><em>Rembulan</em></p>
<p><em>Kau berjalan di atas bumi pertiwi</em></p>
<p><em>Dengan sinar keagunganmu</em></p>
<p><em>Walau sesaat kita bertemu dimalam hari</em></p>
<p>Larik bermajas untuk melengkapi puisi tersebut adalah &hellip;</p>
<p>&nbsp;</p>","<p>Dia bermanfaat sekali</p>","<p>Rembulan menyinari bumi</p>","<p>Cahayanya bersinar terang</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </p>","<p>Engkau tersenyum padaku</p>
<p>&nbsp;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </p>","D"
"1856","3","28","Mengulas Berbagai Karya Sastra","64","Teks Ulasan","2392","puisi","<p><strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Rembulan</strong></p>
<p><em>Rembulan</em></p>
<p><em>Kau berjalan di atas bumi pertiwi</em></p>
<p><em>Dengan sinar keagunganmu</em></p>
<p><em>Walau sesaat kita bertemu dimalam hari</em></p>
<p>Larik bermajas untuk melengkapi puisi tersebut adalah &hellip;</p>
<p>&nbsp;</p>","<p>Dia bermanfaat sekali</p>","<p>Rembulan menyinari bumi</p>","<p>Cahayanya bersinar terang</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </p>","<p>Engkau tersenyum padaku</p>
<p>&nbsp;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </p>","D"
"1856","3","73","Lingkungan","223","menulis puisi bebas ","2392","puisi","<p><strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Rembulan</strong></p>
<p><em>Rembulan</em></p>
<p><em>Kau berjalan di atas bumi pertiwi</em></p>
<p><em>Dengan sinar keagunganmu</em></p>
<p><em>Walau sesaat kita bertemu dimalam hari</em></p>
<p>Larik bermajas untuk melengkapi puisi tersebut adalah &hellip;</p>
<p>&nbsp;</p>","<p>Dia bermanfaat sekali</p>","<p>Rembulan menyinari bumi</p>","<p>Cahayanya bersinar terang</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </p>","<p>Engkau tersenyum padaku</p>
<p>&nbsp;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </p>","D"
"1856","3","75","Kesenian","231","menulis puisi bebas","2392","puisi","<p><strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Rembulan</strong></p>
<p><em>Rembulan</em></p>
<p><em>Kau berjalan di atas bumi pertiwi</em></p>
<p><em>Dengan sinar keagunganmu</em></p>
<p><em>Walau sesaat kita bertemu dimalam hari</em></p>
<p>Larik bermajas untuk melengkapi puisi tersebut adalah &hellip;</p>
<p>&nbsp;</p>","<p>Dia bermanfaat sekali</p>","<p>Rembulan menyinari bumi</p>","<p>Cahayanya bersinar terang</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </p>","<p>Engkau tersenyum padaku</p>
<p>&nbsp;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </p>","D"
